wall_time,event_receive_ros_time_sec,source_ros_time_sec,elapsed_sec,kind,name,phase,duration_sec,source_node,detail,raw
2026-07-04 10:09:25.753,1783130965.753726006,1783130965.753560066,391.352609107,mission,execute_command,begin,-1.000000000,task_manager_node,"action=ready,task_index=8,point_id=0","source_ros_time=1783130965.753560066|source_node=task_manager_node|kind=mission|name=execute_command|phase=begin|detail=action=ready,task_index=8,point_id=0"
2026-07-04 10:09:25.753,1783130965.753890038,1783130965.753668547,391.352773136,mission,ready_sequence,begin,-1.000000000,task_manager_node,"task_index=8,point_id=0","source_ros_time=1783130965.753668547|source_node=task_manager_node|kind=mission|name=ready_sequence|phase=begin|detail=task_index=8,point_id=0"
2026-07-04 10:09:25.753,1783130965.753965378,1783130965.753732681,391.352848446,mission,ready_sequence,end,0.000064135,task_manager_node,"task_index=8,point_id=0,ok=1","source_ros_time=1783130965.753732681|source_node=task_manager_node|kind=mission|name=ready_sequence|phase=end|detail=task_index=8,point_id=0,ok=1"
2026-07-04 10:09:25.754,1783130965.754063368,1783130965.753755331,391.352946507,mission,execute_command,end,0.000195265,task_manager_node,"action=ready,task_index=8,point_id=0,ok=1","source_ros_time=1783130965.753755331|source_node=task_manager_node|kind=mission|name=execute_command|phase=end|detail=action=ready,task_index=8,point_id=0,ok=1"
2026-07-04 10:09:30.917,1783130970.917147398,1783130970.917072058,396.516030523,mission,execute_command,begin,-1.000000000,task_manager_node,"action=pickup,task_index=8,point_id=0","source_ros_time=1783130970.917072058|source_node=task_manager_node|kind=mission|name=execute_command|phase=begin|detail=action=pickup,task_index=8,point_id=0"
2026-07-04 10:09:30.917,1783130970.917273760,1783130970.917130947,396.516157046,mission,pickup_sequence,begin,-1.000000000,task_manager_node,"task_index=8,point_id=0","source_ros_time=1783130970.917130947|source_node=task_manager_node|kind=mission|name=pickup_sequence|phase=begin|detail=task_index=8,point_id=0"
2026-07-04 10:09:30.917,1783130970.917351723,1783130970.917153835,396.516234722,action,nav_lookout_align,begin,-1.000000000,task_manager_node,"context=Pickup,task_index=8,point_id=0","source_ros_time=1783130970.917153835|source_node=task_manager_node|kind=action|name=nav_lookout_align|phase=begin|detail=context=Pickup,task_index=8,point_id=0"
2026-07-04 10:09:30.917,1783130970.917417049,1783130970.917209864,396.516300129,action,look_out,begin,-1.000000000,task_manager_node,"target_x=0.126,target_y=0.141","source_ros_time=1783130970.917209864|source_node=task_manager_node|kind=action|name=look_out|phase=begin|detail=target_x=0.126,target_y=0.141"
2026-07-04 10:09:30.917,1783130970.917481184,1783130970.917266607,396.516364319,motion,move_joint,begin,-1.000000000,task_manager_node,"seq=1,points=1,max_v=1,max_a=2,blend_radius=0.1","source_ros_time=1783130970.917266607|source_node=task_manager_node|kind=motion|name=move_joint|phase=begin|detail=seq=1,points=1,max_v=1,max_a=2,blend_radius=0.1"
2026-07-04 10:09:33.272,1783130973.272939205,1783130973.272841215,398.871822350,motion,move_joint,end,2.355574608,task_manager_node,"seq=1,ok=1,message=success","source_ros_time=1783130973.272841215|source_node=task_manager_node|kind=motion|name=move_joint|phase=end|detail=seq=1,ok=1,message=success"
