wall_time,event_receive_ros_time_sec,source_ros_time_sec,elapsed_sec,kind,name,phase,duration_sec,source_node,detail,raw
2026-07-05 14:14:40.848,1783232080.848464489,1783232080.848137617,326.552935255,tf,get_pick_pos_to_world,end,0.006291866,task_manager_node,"frame=world,ok=1","source_ros_time=1783232080.848137617|source_node=task_manager_node|kind=tf|name=get_pick_pos_to_world|phase=end|detail=frame=world,ok=1"
2026-07-05 14:14:40.848,1783232080.848529100,1783232080.848180532,326.552999896,perception,get_pick_pos,end,3.244628906,task_manager_node,"object=box,ok=1","source_ros_time=1783232080.848180532|source_node=task_manager_node|kind=perception|name=get_pick_pos|phase=end|detail=object=box,ok=1"
2026-07-05 14:14:40.848,1783232080.848555088,1783232080.848189592,326.553025668,perception,get_pick_pos,begin,-1.000000000,task_manager_node,object=box,source_ros_time=1783232080.848189592|source_node=task_manager_node|kind=perception|name=get_pick_pos|phase=begin|detail=object=box
2026-07-05 14:14:41.920,1783232081.920333385,1783232081.920174837,327.624804025,tf,get_pick_pos_to_world,begin,-1.000000000,task_manager_node,frame=world,source_ros_time=1783232081.920174837|source_node=task_manager_node|kind=tf|name=get_pick_pos_to_world|phase=begin|detail=frame=world
2026-07-05 14:14:41.920,1783232081.920423031,1783232081.920247555,327.624893559,tf,get_pick_pos_to_world,end,0.000072718,task_manager_node,"frame=world,ok=1","source_ros_time=1783232081.920247555|source_node=task_manager_node|kind=tf|name=get_pick_pos_to_world|phase=end|detail=frame=world,ok=1"
2026-07-05 14:14:41.920,1783232081.920472383,1783232081.920253515,327.624943150,perception,get_pick_pos,end,1.072063923,task_manager_node,"object=box,ok=1","source_ros_time=1783232081.920253515|source_node=task_manager_node|kind=perception|name=get_pick_pos|phase=end|detail=object=box,ok=1"
2026-07-05 14:14:41.920,1783232081.920531034,1783232081.920261145,327.625001600,perception,get_pick_pos,begin,-1.000000000,task_manager_node,object=box,source_ros_time=1783232081.920261145|source_node=task_manager_node|kind=perception|name=get_pick_pos|phase=begin|detail=object=box
2026-07-05 14:14:43.464,1783232083.464686632,1783232083.464550257,329.169157252,tf,get_pick_pos_to_world,begin,-1.000000000,task_manager_node,frame=world,source_ros_time=1783232083.464550257|source_node=task_manager_node|kind=tf|name=get_pick_pos_to_world|phase=begin|detail=frame=world
2026-07-05 14:14:43.464,1783232083.464783430,1783232083.464642286,329.169254017,tf,get_pick_pos_to_world,end,0.000092030,task_manager_node,"frame=world,ok=1","source_ros_time=1783232083.464642286|source_node=task_manager_node|kind=tf|name=get_pick_pos_to_world|phase=end|detail=frame=world,ok=1"
2026-07-05 14:14:43.464,1783232083.464813232,1783232083.464653969,329.169284160,perception,get_pick_pos,end,1.544392824,task_manager_node,"object=box,ok=1","source_ros_time=1783232083.464653969|source_node=task_manager_node|kind=perception|name=get_pick_pos|phase=end|detail=object=box,ok=1"
2026-07-05 14:14:43.464,1783232083.464836597,1783232083.464675188,329.169307492,perception,pick_samples_current_view,end,5.861166000,task_manager_node,"success_count=3,sample_count=3","source_ros_time=1783232083.464675188|source_node=task_manager_node|kind=perception|name=pick_samples_current_view|phase=end|detail=success_count=3,sample_count=3"
2026-07-05 14:14:43.465,1783232083.465003967,1783232083.464842319,329.169474825,action,grasp_move,begin,-1.000000000,task_manager_node,"target_x=0.215,target_y=-0.185,target_z=0.12,tool_roll=0","source_ros_time=1783232083.464842319|source_node=task_manager_node|kind=action|name=grasp_move|phase=begin|detail=target_x=0.215,target_y=-0.185,target_z=0.12,tool_roll=0"
